Wilayah,2017,2018,2019
bogor,8120,8619,8120
Sukabumi,6760,7158,6760
Cianjur,6028,6310,6028
Bandung,6993,5486,6993
Garut,7417,5833,7417
Tasikmalaya,5447,3745,5447
Ciamis,4342,6125,4342
Kuningan,5524,7392,5524
Cirebon,6125,5121,6125
Majalengka,5256,7918,5256
Sumedang,4689,5848,4689
Indramayu,6236,4687,6236
Subang,5813,6489,5813
Purwakarta,3610,5794,3610
Karawang,5443,6609,5443
bekasi,5219,5611,5219
Bandung Barat,3644,3835,3644
Pangandaran,1777,1910,1777
KotaBogor,3406,6754,3406
Kota Sukabumi,1767,3578,1767
Kota Bandung,6367,1874,6367
Kota Cirebon,2196,2312,2196
KotaBekasi,4653,4843,4653
KotaDepok,2675,2825,2675
Kota Cimahi,1738,1855,1738
Kota Tasikmalaya,3013,3198,3013
Kota Banjar,1312,1363,1312
Kabupaten Cilacap,5221,4976,4552
Kabupaten Banyumas,5710,5339,4925
Kabupaten Purbalingga,3542,3392,3154
Kabupaten Banjarnegara,3864,3631,3361
Kabupaten Kebumen,5343,5043,4658
Kabupaten Purworejo,3758,3453,3121
Kabupaten Wonosobo,3292,3141,2879
Kabupaten Magelang,3355,3144,2848
Kabupaten Boyolali,3825,3601,3303
Kabupaten Klaten,4009,3752,3402
Kabupaten Sukoharjo,3370,3150,2898
Kabupaten Wonogiri,4949,4651,4256
Kabupaten Karanganyar,3963,3712,3377
Kabupaten Sragen,4149,3960,3647
Kabupaten Grobogan,3958,3714,3361
Kabupaten Blora,3683,3508,3204
Kabupaten Rembang,3465,3275,3024
Kabupaten Pati,4844,4493,4046
Kabupaten Kudus,3065,2957,2677
Kabupaten Jepara,3850,3601,3282
Kabupaten Demak,3235,3058,2809
Kabupaten Semarang,3481,3310,3030
Kabupaten Temanggung,2950,2744,2539
Kabupaten Kendal,3723,3460,3179
Kabupaten Batang,3201,3040,2817
Kabupaten Pekalongan,4314,4184,3886
Kabupaten Pemalang,5009,4762,4446
Kabupaten Tegal,4698,4416,4043
Kabupaten Brebes,5232,4756,4316
Kota Magelang,1182,1141,1045
Kota Surakarta,2854,2716,2514
Kota Salatiga,1577,1520,1442
Kota Semarang,4504,4147,3776
Kota Pekalongan,1539,1478,1399
Kota Tegal,1745,1687,1589
Kep. Seribu,629,620,587
Jakarta Selatan,5212,4967,4559
Jakarta Timur,5869,5581,5072
Jakarta Pusat,3252,3107,2971
Jakarta Barat,4305,4054,3682
Jakarta Utara,3078,2983,2803
DKI JAKARTA,5263,5211,4994
Nias,1458,1468,1418
Mandailing Natal,2538,2449,2237
Tapanuli Selatan,1594,1514,1337
Tapanuli Tengah,1791,1777,1663
Tapanuli Utara,1796,1803,1646
Toba,1301,1290,1199
Labuhan Batu,1801,1742,1592
Asahan,2050,2018,1786
Simalungun,2962,2851,2471
Dairi,1532,1589,1425
Karo,1772,1699,1532
Deli Serdang,3485,3272,2902
Langkat,3308,3155,2800
Nias Selatan,2250,2192,2035
Humbang Hasundutan,1406,1340,1241
Pakpak Bharat,993,994,940
Samosir,1065,1038,985
Serdang Bedagai,1793,1746,1542
Batu Bara,1290,1288,1240
Padang Lawas Utara,1508,1459,1381
Padang Lawas,1268,1273,1230
Labuhanbatu Selatan,842,818,809
Labuanbatu Utara,1208,1205,1099
Nias Utara,1636,1575,1528
Nias Barat,1062,1106,1085
Sibolga,909,869,824
Tanjungbalai,1007,970,907
Pematangsiantar,1508,1445,1339
Tebing Tinggi,988,1009,966
Medan,4333,4148,3766
Binjai,1540,1495,1423
Padangsidimpuan,1299,1265,1156
Gunungsitoli,1168,1129,1046
Kab. Kepulauan Mentawai,1273,1223,1315
Kab. Pesisir Selatan,2546,2378,2347
Kab. Solo,2135,1682,1920
Kab. SIjunjung,1518,1424,1378
Kab. Tanah Datar,1928,1774,1747
Kab. Padang Pariaman,2023,1809,1787
Kab. Agam,2146,2003,1923
Kab. Lima Puluh Kota,2119,2015,1960
Kab. Pasaman,1822,1674,1616
Kab. Solok Selatan,580,1114,1109
Kab. Dharmasraya,1295,1221,1227
Kab. Pasaman Barat,1645,1582,1567
Kota Padang,2946,2745,2791
Kota Solok,814,790,789
Kota Sawahlunto,788,736,723
Kota Padang Panjang,804,789,773
Kota Bukittinggi,1128,1045,1009
Kota Payakumbuh,1067,1016,1005
Kota Pariaman,868,826,871
Kuantan Singingi,2201,2049,1937
Indragiri Hulu,2325,2118,2020
Indragiri Hilir,3138,2854,2737
Pelalawan,2140,1996,1925
Siak,2401,2287,2206
Kampar,3668,3188,2921
Rokan Hulu,2377,2197,2136
Bengkalis,2713,2501,2409
Rokan Hilir,2565,2397,2347
Kepulauan Meranti,1487,1344,1237
Pekanbaru,9400,2129,2020
Dumai,1404,1301,1269
Kerinci,1204,1204,2444
Merangin,2717,2717,2642
Sarolangun,2153,2153,2083
Batang Hari,2239,2239,2221
Muaro Jambi,2381,2381,2356
TanjabTimur,1973,1973,1941
Tanjab Barat,1947,1947,1921
Tebo,1892,1892,1848
Bungo,2462,2462,2364
Kota Jambi,2011,2011,1986
Kota Sungai Penuh,1204,1204,1197
Lampung Barat,1858,1782,1776
Tanggamus,2630,2429,2256
Lampung Selatan,3092,2883,2663
Lampung Timur,3464,3195,2965
Lampung Tengah,4884,4498,4175
Lampung Utara,3000,2796,2674
Way Kanan,2378,2271,2136
Tulang Bawang,1913,1827,1769
Pesawaran,1852,1724,1636
Pringsewu,2013,1846,1710
Mesuji,1164,1111,1079
Tulang Bawang Barat,1290,1212,1186
Pesisir Barat,1072,1014,998
Bandar Lampung,2821,2628,2424
Metro,1516,1455,1442
Karimun,1713,1678,1703
Bintan,1570,1509,1506
Natuna,1574,1537,1621
Lingga,1240,1219,1273
Kepulauan Anambas,926,884,923
Batam,2475,2407,2440
Tanjungpinang,1254,3663,3715
Sumba Barat,1182,1158,1079
Sumba Timur,2389,2236,2120
Kupang,2554,2474,484
SIMEULUE,1757,1699,1545
ACEH SINGKIL,1569,1538,1758
ACEH SELATAN,2631,2515,3325
ACEH TENGGARA,2307,2172,2778
ACEH TIMUR,3339,3219,4892
ACEH TENGAH,2087,2003,3459
ACEH BARAT,2042,1947,3119
ACEH BESAR,2183,2073,4647
PIDIE,2742,2576,5529
BIREUEN,2883,2754,5581
ACEH UTARA,3640,3463,6610
ACEH BARAT DAYA,1326,1286,2030
GAYO LUES,1725,1673,1529
ACEH TAMIANG,1779,1708,3065
NAGAN RAYA,1724,1643,2075
ACEH JAYA,1331,1294,1645
BENER MERIAH,1362,1289,2049
PIDIE JAYA,1145,1082,2272
BANDA ACEH,11682,11234,15613
SABANG,1147,1102,1286
LANGSA,1317,1270,2435
LHOKSEUMAWE,1133,1100,2222
SUBULUSSALAM,949,904,1064
Kab Pandeglang,35,35,35
Kab Lebak,28,28,28
Kab Tangerang,29,29,29
Kab Serang,29,29,29
Kota Tangerang,13,13,13
Kota Cilegon,8,8,8
Kota Serang,6,6,6
Kota Tangerang Selatan,7,7,7
Merauke,6738,2383,2329
Jayawijaya,2458,2252,2238
Jayapura,2348,1795,1970
Nabire,1868,2432,2377
Kepulauan Yapen,2530,2084,2036
Biak Numfor,2189,2198,2193
Paniai,2320,1601,1577
Puncak Jaya,1680,1673,1665
Mimika,1525,1917,1995
Boven Digoel,1969,1193,1308
Mappi,1219,1698,1685
Asmat,1737,1481,1466
Yahukimo,1585,1880,1871
Pegunungan Bintang,1890,1701,1690
Tolikara,1699,1797,1812
Sarmi,1752,1079,1247
Keerom,1112,1508,1474
Waropen,1535,1256,1217
Supiori,1297,1326,1304
Mamberamo Raya,1320,1017,1003
Nduga,1023,693,690
Lanny Jaya,696,1677,1668
Mamberamo Tengah,1684,1190,1300
Yalimo,1190,991,992
Puncak,999,1429,1427
Dogiyai,1426,1256,1258
Intan Jaya,1261,922,910
Deiyai,920,890,1014
Kota Jayapura,888,1685,1725
Pacitan,6042,2755,2719
Ponorogo,2800,1282,1282
Trenggalek,1323,2050,2384
Tulungagung,2077,1991,1968
Blitar,2031,1564,1539
Kediri,1622,2018,2081
Malang,2062,691,688
Lumajang,706,614,612
Jember,537,2477,2629
Banyuwangi,2496,798,941
Bondowoso,808,1057,1055
Situbondo,1066,797,794
Probolinggo,824,530,529
Pasuruan,536,633,628
Sidoarjo,641,607,615
Mojokerto,573,747,910
Jombang,752,1286,1277
Nganjuk,1310,753,742
Madiun,752,966,958
Magetan,980,433,435
Ngawi,441,312,309
Bojonegoro,314,567,564
Tuban,570,487,586
Lamongan,489,515,512
Gresik,514,490,490
Bangkalan,490,583,585
Sampang,581,353,355
Pamekasan,353,434,559
Sumenep,424,2498,2592
